animal_id,tissue,stim,conc_µg_ml,ifng_pg_ml,dose_µg,stim_id,adjusted_ifng,log_adj_ifng
b|1,ln,CMP2,1.0,3403.75129524,2,CMP2|1.0,3391.4436904336003,3.530384610686908
b|1,ln,CMP2,10.0,17547.4719871,2,CMP2|10.0,17535.164382293602,4.24390984150286
b|1,ln,CMP1,1.0,813.748604258,2,CMP1|1.0,801.4409994516,2.903871555940623
b|6,ln,CMP2,1.0,1144.39740423,2,CMP2|1.0,1114.8311910807,3.0472091110322355
b|4,sp,CMP2,1.0,8565.93897624,2,CMP2|1.0,8507.7037157133,3.929812357009801
b|8,sp,CMP2,10.0,18249.160754,2,CMP2|10.0,18154.2790843333,4.258979007536305
b|8,sp,CMP1,0.1,945.440562358,2,CMP1|0.1,850.5588926913,2.929704389536322
b|8,sp,CMP1,1.0,2401.97893449,2,CMP1|1.0,2307.0972648233,3.3630659043111235
b|8,sp,CMP1,10.0,3530.13403697,2,CMP1|10.0,3435.2523673033,3.535958647567694
b|7,sp,CMP2,0.1,10651.7527147,2,CMP2|0.1,10594.695667867,4.025088486137489
b|7,sp,CMP2,1.0,24830.561209400003,2,CMP2|1.0,24773.504162567002,4.393987441015831
b|7,sp,CMP2,10.0,37393.2163668,2,CMP2|10.0,37336.159319967,4.57212964109209
b|7,sp,CMP1,0.1,887.081273032,2,CMP1|0.1,830.024226199,2.9190907684616128
b|7,sp,CMP1,1.0,1991.87255962,2,CMP1|1.0,1934.815512787,3.2866395607769845
b|7,sp,CMP1,10.0,4519.93699226,2,CMP1|10.0,4462.879945427,3.649615204174192
b|6,sp,CMP2,0.1,2148.93298203,2,CMP2|0.1,2089.7252416988,3.3200891885712207
b|6,sp,CMP2,1.0,5742.942768729999,2,CMP2|1.0,5683.7350283988,3.754633823233864
b|6,sp,CMP2,10.0,9806.841401320002,2,CMP2|10.0,9747.633660988802,3.9888991990107696
b|6,sp,CMP1,0.1,867.1038310910001,2,CMP1|0.1,807.8960907598,2.9073555066760983
b|6,sp,CMP1,1.0,1599.33384312,2,CMP1|1.0,1540.1261027888,3.1875562815528307
b|6,sp,CMP1,10.0,2493.03775103,2,CMP1|10.0,2433.8300106988,3.386290241932839
b|8,ln,CMP2,0.1,2419.43838106,2,CMP2|0.1,2383.6160511579,3.3772363012811235
b|8,sp,CMP2,0.1,3132.66942169,2,CMP2|0.1,3037.7877520233,3.4825574267534924
b|8,sp,CMP2,1.0,5135.86775316,2,CMP2|1.0,5040.9860834933,3.702515498495399
b|4,sp,CMP1,0.1,1499.6929986,2,CMP1|0.1,1441.4577380733,3.1588019138830066
b|4,sp,CMP1,1.0,2537.7903734700003,2,CMP1|1.0,2479.5551129433,3.394373765775405
b|4,sp,CMP1,10.0,5711.68319161,2,CMP1|10.0,5653.4479310833,3.7523133966207305
b|3,sp,CMP2,0.1,10559.4009268,2,CMP2|0.1,10544.325386750501,4.023018799325979
b|3,sp,CMP2,1.0,21596.5902917,2,CMP2|1.0,21581.5147516505,4.334081923442183
b|3,sp,CMP2,10.0,38292.125187100006,2,CMP2|10.0,38277.0496470505,4.582938455453139
b|3,sp,CMP1,0.1,962.712859782,2,CMP1|0.1,947.6373197325,2.976642155717613
b|3,sp,CMP1,1.0,3827.13573177,2,CMP1|1.0,3812.0601917205,3.581159749449418
b|3,sp,CMP1,10.0,6515.46085244,2,CMP1|10.0,6500.3853123905,3.812939100348297
b|2,sp,CMP2,0.1,2982.01430457,2,CMP2|0.1,2926.5095584182,3.46634994692329
b|4,sp,CMP2,10.0,29665.7659041,2,CMP2|10.0,29607.5306435733,4.471402187443654
b|2,sp,CMP2,10.0,23680.5943078,2,CMP2|10.0,23625.089561648198,4.3733734635752
b|4,sp,CMP2,0.1,4491.90381907,2,CMP2|0.1,4433.668558543301,3.646763224056804
b|1,sp,CMP1,10.0,5841.97990862,2,CMP1|10.0,5780.7923948343005,3.761987372869866
b|1,sp,CMP1,1.0,2761.23816971,2,CMP1|1.0,2700.0506559243,3.4313719120782578
b|2,sp,CMP2,1.0,9419.0366431,2,CMP2|1.0,9363.5318969482,3.9714396942542067
b|1,sp,CMP2,10.0,28319.933347600003,2,CMP2|10.0,28258.745833814304,4.451152883289593
b|1,sp,CMP2,1.0,9411.673388370002,2,CMP2|1.0,9350.485874584301,3.9708341784841106
b|1,sp,CMP1,0.1,819.4489904229999,2,CMP1|0.1,758.2614766372999,2.879818992279807
b|2,sp,CMP1,10.0,3475.29468942,2,CMP1|10.0,3419.7899432681997,3.5339994308277163
b|2,sp,CMP1,1.0,2774.13958612,2,CMP1|1.0,2718.6348399681997,3.434350878188146
b|2,sp,CMP1,0.1,946.379959541,2,CMP1|0.1,890.8752133892,2.9498168758305368
b|1,sp,CMP2,0.1,2774.24683178,2,CMP2|0.1,2713.0593179943,3.433459289226387
c|2,sp,CMP1,1.0,3955.17467951,10,CMP1|1.0,3934.8604297526,3.5949293324604517
c|2,sp,CMP1,10.0,6692.508804919999,10,CMP1|10.0,6672.1945551625995,3.824268701448873
c|1,sp,CMP2,0.1,599.045940515,10,CMP2|0.1,567.4521121004,2.753929216828894
c|4,sp,CMP2,1.0,19670.0487307,10,CMP2|1.0,19613.9690207601,4.2925654850190975
c|1,sp,CMP2,10.0,3940.37301198,10,CMP2|10.0,3908.7791835653998,3.5920411367745846
c|1,sp,CMP1,0.1,562.7205479730001,10,CMP1|0.1,531.1267195584,2.7251981501573788
c|1,sp,CMP1,1.0,1152.82925924,10,CMP1|1.0,1121.2354308254,3.04969681292774
c|1,sp,CMP1,10.0,1784.77624101,10,CMP1|10.0,1753.1824125954,3.2438271052906824
c|2,sp,CMP1,0.1,1918.11853721,10,CMP1|0.1,1897.8042874526002,3.278251423443271
c|1,sp,CMP2,1.0,2313.80129781,10,CMP2|1.0,2282.2074693954,3.358355122430118
c|2,sp,CMP2,10.0,31201.8199833,10,CMP2|10.0,31181.5057335426,4.493897083142096
c|3,sp,CMP1,0.1,529.168701115,10,CMP1|0.1,456.1446016671,2.6591025394868617
c|2,sp,CMP2,0.1,3853.66135679,10,CMP2|0.1,3833.3471070326,3.58357814611156
c|3,sp,CMP1,10.0,4455.71594533,10,CMP1|10.0,4382.6918458821,3.641740935783378
c|3,sp,CMP1,1.0,1694.65325466,10,CMP1|1.0,1621.6291552121,3.2099515439199724
c|3,sp,CMP2,10.0,10824.4153124,10,CMP2|10.0,10751.3912129521,4.031464664904234
c|3,sp,CMP2,1.0,6477.22882319,10,CMP2|1.0,6404.2047237421,3.8064652065967923
c|4,sp,CMP1,10.0,6682.29650839,10,CMP1|10.0,6626.2167984501,3.8212656411490595
c|4,sp,CMP1,1.0,4120.88749847,10,CMP1|1.0,4064.8077885300995,3.6090400140495538
c|4,sp,CMP1,0.1,1685.53212983,10,CMP1|0.1,1629.4524198901,3.212041683560987
c|4,sp,CMP2,0.1,4703.60966269,10,CMP2|0.1,4647.5299527501,3.6672221974266512
c|2,sp,CMP2,1.0,18268.736213,10,CMP2|1.0,18248.4219632426,4.261225314694561
c|6,sp,CMP2,10.0,30501.653237100003,10,CMP2|10.0,30464.648750932003,4.483796175192758
c|6,sp,CMP1,0.1,687.24362975,10,CMP1|0.1,650.239143582,2.813073109930901
c|6,sp,CMP1,1.0,2589.3885685200003,10,CMP1|1.0,2552.3840823520004,3.406946027531514
c|6,sp,CMP2,1.0,8692.94318495,10,CMP2|1.0,8655.938698782,3.937314172106882
c|6,sp,CMP1,10.0,4132.85258205,10,CMP1|10.0,4095.848095882,3.6123438414385856
c|5,sp,CMP1,0.1,1092.97027776,10,CMP1|0.1,1068.3828816698,3.028726920854479
c|5,sp,CMP2,0.1,2120.48127658,10,CMP2|0.1,2095.8938804898003,3.321369289626371
c|5,sp,CMP2,1.0,9314.69311007,10,CMP2|1.0,9290.1057139798,3.968020655945942
c|5,sp,CMP2,10.0,22006.8794411,10,CMP2|10.0,21982.292045009803,4.342072973374231
c|5,sp,CMP1,1.0,3392.9183547,10,CMP1|1.0,3368.3309586098,3.5274147569476852
c|5,sp,CMP1,10.0,6202.77550008,10,CMP1|10.0,6178.1881039898,3.790861126898607
c|6,sp,CMP2,0.1,4812.95268388,10,CMP2|0.1,4775.948197712,3.6790596075748643
c|7,sp,CMP2,1.0,2935.9085659800003,10,CMP2|1.0,2908.0359293522,3.4635997680133426
c|4,sp,CMP2,10.0,29502.4890887,10,CMP2|10.0,29446.4093787601,4.469032345572659
c|7,sp,CMP1,10.0,1252.67710698,10,CMP1|10.0,1224.8044703522,3.0880667628026717
c|7,sp,CMP1,1.0,579.438196268,10,CMP1|1.0,551.5655596401999,2.741597140525603
c|7,sp,CMP1,0.1,102.7243424699,10,CMP1|0.1,74.85170584209999,1.8742017021990345
c|7,sp,CMP2,10.0,5870.97298104,10,CMP2|10.0,5843.100344412201,3.7666433445766225
c|7,sp,CMP2,0.1,795.2515924410001,10,CMP2|0.1,767.3789558132,2.8850098851678503
c|8,sp,CMP1,10.0,5910.6577676100005,10,CMP1|10.0,5864.0570964276,3.768198190238584
c|8,sp,CMP1,1.0,3519.32529422,10,CMP1|1.0,3472.7246230376,3.5406703463868223
c|8,sp,CMP1,0.1,1536.47156601,10,CMP1|0.1,1489.8708948276,3.173148636134922
c|8,sp,CMP2,10.0,23921.3315316,10,CMP2|10.0,23874.7308604176,4.377938484486388
c|8,sp,CMP2,1.0,9182.38535102,10,CMP2|1.0,9135.784679837601,3.960745855190263
c|8,sp,CMP2,0.1,3582.02286712,10,CMP2|0.1,3535.4221959375996,3.548441284163296
c|3,sp,CMP2,0.1,1754.99531129,10,CMP2|0.1,1681.9712118421,3.2258185582602796
c|1,ln,CMP1,0.1,294.35702436400004,10,CMP1|0.1,246.06050699330004,2.3910419145104593
c|1,ln,CMP2,10.0,2705.65838194,10,CMP2|10.0,2657.3618645693,3.4244506982133873
c|1,ln,CMP2,1.0,904.733863554,10,CMP2|1.0,856.4373461833,2.932695597071362
c|1,ln,CMP2,0.1,166.621562725,10,CMP2|0.1,118.32504535429999,2.0730766796062765
c|2,ln,CMP1,10.0,9915.80882786,10,CMP1|10.0,9909.358546759951,3.9960455426165695
c|2,ln,CMP1,1.0,5726.4265601100005,10,CMP1|1.0,5719.97627900995,3.7573942277586805
c|2,ln,CMP1,0.1,1772.36015133,10,CMP1|0.1,1765.90987022995,3.246968533975031
c|2,ln,CMP2,10.0,40545.7550828,10,CMP2|10.0,40539.30480169995,4.607876296814457
c|2,ln,CMP2,1.0,23070.2944024,10,CMP2|1.0,23063.84412129995,4.362931694178624
c|2,ln,CMP2,0.1,5365.614668900001,10,CMP2|0.1,5359.16438779995,3.7290970788610114
c|1,ln,CMP1,1.0,226.392162068,10,CMP1|1.0,178.0956446973,2.2506532989856614
c|3,ln,CMP1,10.0,3443.2538047700004,10,CMP1|10.0,3345.1194638867005,3.5244116322922823
c|4,ln,CMP1,10.0,3953.23657898,10,CMP1|10.0,3882.856543741,3.58915134537155
c|3,ln,CMP1,1.0,1850.71375616,10,CMP1|1.0,1752.5794152767,3.2436777064304323
c|4,ln,CMP2,0.1,4034.99211519,10,CMP2|0.1,3964.612079951,3.598200699906199
c|4,ln,CMP2,1.0,20461.061961,10,CMP2|1.0,20390.681925761,4.3094317501353165
c|4,ln,CMP2,10.0,31299.9475271,10,CMP2|10.0,31229.567491861002,4.494565969590466
c|4,ln,CMP1,0.1,950.51323964,10,CMP1|0.1,880.1332044010001,2.9445484057392917
c|4,ln,CMP1,1.0,2209.21483516,10,CMP1|1.0,2138.834799921,3.330177241676063
c|3,ln,CMP2,0.1,2452.44786947,10,CMP2|0.1,2354.3135285867,3.3718642982135005
c|3,ln,CMP2,1.0,6795.1893051,10,CMP2|1.0,6697.0549642167,3.825883863302024
c|3,ln,CMP2,10.0,10695.3189749,10,CMP2|10.0,10597.1846340167,4.02519050108416
c|3,ln,CMP1,0.1,764.1788396050001,10,CMP1|0.1,666.0444987217002,2.8235032455422195
c|1,ln,CMP1,10.0,476.682465506,10,CMP1|10.0,428.38594813530005,2.6318352167177363
c|5,ln,CMP1,1.0,434.379401117,10,CMP1|1.0,427.55735472464,2.6309943814493333
c|5,ln,CMP1,10.0,826.343055948,10,CMP1|10.0,819.52100955564,2.9135600917895235
c|5,ln,CMP1,0.1,254.25175183,10,CMP1|0.1,247.42970543764,2.39345183811122
c|5,ln,CMP2,10.0,5614.99011027,10,CMP2|10.0,5608.16806387764,3.74882101995878
c|5,ln,CMP2,1.0,1930.70553273,10,CMP2|1.0,1923.8834863376399,3.284178766884306
c|5,ln,CMP2,0.1,469.269317267,10,CMP2|0.1,462.44727087464,2.6650622208076373
c|6,ln,CMP1,10.0,2401.63454781,10,CMP1|10.0,2375.4207626545003,3.3757405481562537
c|6,ln,CMP1,0.1,244.989480847,10,CMP1|0.1,218.7756956915,2.339999073541883
c|6,ln,CMP2,10.0,28819.6625367,10,CMP2|10.0,28793.4487515445,4.459293685859787
c|6,ln,CMP2,1.0,9367.26618776,10,CMP2|1.0,9341.0524026045,3.9703958084459567
c|6,ln,CMP2,0.1,3033.52855359,10,CMP2|0.1,3007.3147684345,3.4781788870429136
c|6,ln,CMP1,1.0,1119.06103369,10,CMP1|1.0,1092.8472485344998,3.038559463180636
c|7,ln,CMP1,10.0,1772.73900902,10,CMP1|10.0,1701.7005546755,3.2308831404174856
c|8,ln,CMP2,0.1,2862.32477888,10,CMP2|0.1,2803.1283305624,3.447642980735428
c|8,ln,CMP2,1.0,5646.94451612,10,CMP2|1.0,5587.7480678024,3.747236817050284
c|8,ln,CMP1,0.1,820.53581748,10,CMP1|0.1,761.3393691624,2.881578287914831
c|8,ln,CMP1,1.0,1805.56781483,10,CMP1|1.0,1746.3713665124,3.2421366020714406
c|8,ln,CMP1,10.0,3255.95372154,10,CMP1|10.0,3196.7572732224003,3.504709661951373
c|8,ln,CMP2,10.0,17736.1099363,10,CMP2|10.0,17676.913487982398,4.247406436460021
c|7,ln,CMP2,0.1,995.291105217,10,CMP2|0.1,924.2526508725,2.9657907048579633
c|7,ln,CMP1,1.0,670.6200869930001,10,CMP1|1.0,599.5816326485001,2.7778483203710684
c|7,ln,CMP2,1.0,4667.41401039,10,CMP2|1.0,4596.3755560455,3.6624155063641024
c|7,ln,CMP2,10.0,8473.669768590002,10,CMP2|10.0,8402.631314245502,3.924415308241378
