group;animal_id;tissue;stim;conc_µg_ml;ifng_pg_ml
e;8;sp;CMP1;1.0;175.99403289300002
e;8;sp;CMP1;0.1;52.1988548249
e;8;sp;CMP2;10.0;3424.16339337
e;7;sp;CMP2;0.1;389.413861712
e;8;sp;CMP2;1.0;1319.8255014600002
e;8;sp;PC;na;3627.26866386
e;9;sp;medium;0.0;47.4776458231
e;9;sp;CMP1;10.0;1106.58090788
e;9;sp;CMP1;1.0;811.984435296
e;9;sp;CMP1;0.1;258.558842884
e;9;sp;CMP2;10.0;4376.87217071
e;8;sp;CMP2;0.1;498.0198207730001
e;5;sp;CMP1;10.0;3659.92074433
e;5;sp;PC;na;2719.54096708
e;8;ln;CMP1;0.1;161.92455209
e;5;ln;CMP1;0.1;324.482153407
e;5;ln;CMP1;10.0;1933.30136139
e;1;ln;CMP1;10.0;3461.0623193700003
e;1;ln;CMP1;1.0;2031.84965916
e;1;ln;CMP2;10.0;5100.4152438
e;1;ln;CMP2;1.0;4032.2291165
e;1;ln;CMP2;0.1;1717.0938317
e;3;ln;medium;0.0;51.3107014191
e;1;ln;PC;na;18231.196802100003
e;2;ln;CMP1;10.0;2514.9181945
e;2;ln;CMP1;1.0;683.028582071
e;2;ln;CMP1;0.1;300.111695031
e;2;ln;CMP2;10.0;7536.56236623
e;2;ln;CMP2;1.0;1719.8479384000002
e;2;ln;CMP2;0.1;228.183432493
e;2;ln;medium;0.0;15.0465842775
e;2;ln;PC;na;26326.3293106
e;1;ln;CMP1;0.1;1270.74820875
e;4;ln;CMP1;1.0;1902.32413611
e;9;sp;CMP2;0.1;414.640906919
e;4;ln;medium;0.0;157.646000379
e;3;ln;CMP2;10.0;6144.48398908
e;3;ln;CMP2;1.0;1986.02768763
e;3;ln;CMP2;0.1;291.368916599
e;3;ln;PC;na;14116.101476700002
e;3;ln;CMP1;1.0;919.603050674
e;4;ln;CMP1;10.0;1735.57809119
e;4;ln;CMP1;0.1;1005.01392216
e;4;ln;CMP2;10.0;6144.618137310001
e;4;ln;CMP2;1.0;2700.6941239
e;5;ln;medium;0.0;56.5313348227
e;4;ln;PC;na;23398.7733401
e;3;ln;CMP1;0.1;778.372605358
e;4;ln;CMP2;0.1;944.511647794
e;3;ln;CMP1;10.0;2505.51913859
